nombre_abreviado,tipo1,tipo2,sector,RFOSC,Tipo de organización,forma_org,alcance,alcance_estatal,figura_juridica,centralidad_grado_simple,fortaleza,centralidad_grado_ajustado,centralidad_eigenvalor,centralidad_cercania,centralidad_intermediacion,centralidad_Katz,componente,clustering_local_ponderado,clustering_local,bloque_similaridad_estructural,bloque_similaridad_regular,comunidad_infomap,flujo_en_modulo_infomap,knnw_conectividadProm_colaboradores_(ponderado),knn_conectividadProm_colaboradores
AMDJ,ED,SPB,ED / SPB,No,Discreta,Económico-gremial,local,Jalisco,Desconocida,1,1,1,5.07445060469079E-07,82.5251174877,0,45.7401156976,2,0,0,7,11,12,0.000600601,46,20
AMOTAC,TA,NA,TA,No,Matriz,Económico-gremial,nacional,Nacional,Asociación Civil,5,2,3.1622776602,7.87911511876465E-08,68.4126042881,0,41.4695479887,2,1,1,4,12,5,0.0012012,16.2,21
AMUCSS,ONO,NA,ONO,Sí,Paraguas,Económico-gremial,local,CDMX,Asociación Civil,11,2,4.6904157598,1.78331119677461E-07,66.7011895123,1,112.5985742723,2,0.5285714286,0.5636363636,4,13,5,0.0012012,19,68
ANAD,DD,PF,DD / PF,No,Discreta,Civil,nacional,Nacional,Asociación Civil,13,3,6.2449979984,7.97034447452141E-06,82.4539498555,2354,364.0739916842,2,0.2947530864,0.5,3,5,21,0.0018018,23.9230769231,37.3333333333
ANDAR,2P,DD,2P / DD,No,Paraguas,Civil,nacional,Nacional,Desconocida,3,1,1.7320508076,7.36102994284916E-18,1.7320508076,0,1.1481056257,4,1,1,,14,,,3,3
Anonymous,AC,NA,AC,No,Matriz,Otra,internacional,Internacional,Informal,2,1,1.4142135624,3.72256151198589E-07,67.6222374973,0,32.1481572024,2,1,1,8,8,13,0.000600601,12,8
ANP,AV,NA,AV,No,Paraguas,Civil,nacional,Nacional,Organización eventual,4,8,5.6568542495,0.0004592137,106.703053515,0,81.4668145587,2,0.8819444444,0.8333333333,9,14,1,0.0048048,21.75,22.25
ANUEE,CS,NA,CS,No,Paraguas,Urbano-gremial,nacional,Nacional,Desconocida,15,4,7.7459666924,5.50283533778412E-05,91.1844797796,794.25,507.7187313284,2,0.450255102,0.4857142857,2,15,4,0.0024024,25.6666666667,40
AP,AP,NA,AP,No,Discreta,Urbano-gremial,nacional,Nacional,Asociación Civil,5,1,2.2360679775,1.47220598856983E-17,2.7839709209,0,1.2788829578,3,1,1,,7,,,5.4,6
APIITDTT,IN,NA,IN,No,Paraguas,Indígena,regional,Regional,Desconocida,3,3,3,0.0001036585,83.1227808602,38,70.0081909355,2,0.5833333333,0.6666666667,10,16,26,0.0018018,27,20
APPG,RP,NA,RP,No,Paraguas,Civil,local,Guerrero,Desconocida,1,1,1,3.68051497142458E-18,1,0,1.0449320794,5,0,0,,17,,,1,1
ASPA,SPA,NA,SPA,No,Matriz,Económico-gremial,nacional,Nacional,Sindical,32,7,14.9666295471,0.0001171036,93.1490668571,695.8,1332.135159358,2,0.5918723941,0.4879032258,2,12,4,0.0042042,26.78125,38.2857142857
ASSA,SPA,NA,SPA,No,Matriz,Económico-gremial,nacional,Nacional,Sindical,20,4,8.94427191,6.37058997583484E-05,83.3553596882,18.5,986.1028620772,2,0.7028508772,0.7210526316,2,12,4,0.0024024,33.3,57.5
ATEM,RP,NA,RP,No,Paraguas,Económico-gremial,local,Michoacán,Desconocida,3,1,1.7320508076,5.23849007111418E-05,82.1186050865,0,151.5647210188,2,1,1,2,18,4,0.000600601,47,76
ATM,TA,NA,TA,No,Discreta,Económico-gremial,nacional,Nacional,Desconocida,32,7,14.9666295471,0.0001608639,103.417375469,151.25,1244.7449137002,2,0.5232060566,0.4455645161,11,12,4,0.0042042,26.625,41.1428571429
ATSEP,SPB,NA,SPB,No,Discreta,Económico-gremial,local,CDMX,Desconocida,1,1,1,4.24832448380543E-06,92.135824477,0,81.2666418519,2,0,0,11,19,4,0.000600601,77,32
Barzón,PR,NA,PR,Sí,Paraguas,Civil,nacional,Nacional,Asociación Civil,27,37,31.6069612586,1.63912012845E-05,111.0083537027,3884.5,347.5545437475,2,0.2382882883,0.2279202279,6,20,6,0.0222222,16.7777777778,7.4054054054
