¿Noticia reportada por ambos medios?,Sitio web,Fecha de publicación,Diario,Seccion,Subsección,Título,Concordancias halladas en el texto,Estados referidos,Versión
Sí,http://www.eluniversal.com.mx/articulo/nacion/sociedad/2017/04/20/caso-ayotzinapa-muestra-impunidad-que-prevalece-en-mexico?fb_comment_id=1553250321353073_1553342404677198,20/04/2017,ElUniversal,nacion,sociedad,Caso Ayotzinapa muestra impunidad que prevalece en México: Vidulfo Rosales,marcha | protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/20/continua-protesta-de-comunidad-lgbt-en-la-embajada-rusa,20/04/2017,LaJornada,ultimas,sociedad y justicia,Continúa protesta de comunidad LGBT en la embajada rusa,manifestación | protesta | demanda,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/21/capital/030n2cap,21/04/2017,LaJornada,capital,,Impide la SSP protesta vecinal frente a la casa de Maldonado. ,protesta,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/21/politica/005n1pol,21/04/2017,LaJornada,politica,,"Ante ‘‘falta de resultados’’, padres de los 43 realizan plantón indefinido en la PGR. Los avances que nos manifiestan son nulos; intocados, militares y policías, lamentan. ",marcha | manifestación | plantón,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/21/politica/014n3pol,21/04/2017,LaJornada,politica,,Se comprometen los recursos naturales: Greenpeace. ,protesta | demanda,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/21/clausuran-el-borrego-viudo-empleados-protestan,21/04/2017,ElUniversal,metropoli,cdmx,"Clausuran ""El Borrego Viudo""; empleados protestan",protesta | demanda,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/21/frenan-protesta-casa-de-delegado?fb_comment_id=1125241987587584_1125568967554886,21/04/2017,ElUniversal,metropoli,cdmx,Frenan protesta a casa de delegado,protesta | manifestación | marcha,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/22/politica/003n2pol,22/04/2017,LaJornada,politica,,Familiares de víctimas irrumpen en el Senado. ,demanda,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/nacion/sociedad/2017/04/22/marchan-por-la-tierra-y-contra-recortes-en-ciencia-y-tecnologia,22/04/2017,ElUniversal,nacion,sociedad,Marchan por la Tierra y contra recortes en ciencia y tecnología,mitin | manifestación | demanda | marcha,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/23/capital/027n1cap,23/04/2017,LaJornada,capital,,"Ocupan los habitantes de Tezonco cinturón verde para evitar su venta. Fue comercializado por la CDMX, pese a un acuerdo de que era para servicios urbanos, dicen Hacen guardias día y noche; organizan labores destinadas a reparar el tejido social. ",campamento,Ciudad de México/,impresa
,http://www.jornada.unam.mx/2017/04/23/politica/010n2pol,23/04/2017,LaJornada,politica,,Valla humana contra Trump y gasolinazos. ,protesta,Ciudad de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/nacion/seguridad/2017/04/23/finaliza-marcha-por-los-43-no-moveran-planton-en-pgr,23/04/2017,ElUniversal,nacion,seguridad,Finaliza marcha por los 43; no moverán plantón en PGR,plantón | manifestación | marcha,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/23/con-cadena-humana-prd-apoya-migrantes,23/04/2017,ElUniversal,nacion,politica,"Con cadena humana, PRD apoya migrantes",protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/23/quienes-hacen-la-ciencia-marcharon-ayer-en-defensa-del-conocimiento,23/04/2017,LaJornada,ultimas,sociedad y justicia,Quienes hacen la ciencia marcharon ayer en defensa del conocimiento,marcha,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/24/politica/007n2pol,24/04/2017,LaJornada,politica,,Ni avances ni resultados concretos en el caso Ayotzinapa: padres de familia. Acusan a la SG de buscar el cierre de las investigaciones. ,plantón | marcha | mitin,Ciudad de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/24/ex-trabajadores-de-mexicana-de-aviacion-realizan-protesta-cerca,24/04/2017,ElUniversal,metropoli,cdmx,Ex trabajadores de Mexicana de Aviación realizan protesta cerca del AICM,protesta | manifestación | movilización,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/24/marchan-campesinos-de-la-estela-de-luz-a-sedatu,24/04/2017,LaJornada,ultimas,sociedad y justicia,Marchan campesinos de la Estela de Luz a Sedatu,marcha | manifestación | demanda,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/25/capital/030n1cap,25/04/2017,LaJornada,capital,,Bloqueo de campesinos frente a la SHCP inmoviliza la zona poniente. Anuncian marcha este martes de Etiopía a la Sagarpa. ,bloqueo | marcha | manifestación | movilización | plantón,Ciudad de México/,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/24/jubilados-de-mexicana-y-el-barzon-bloquean-circuito-interior,24/04/2017,LaJornada,ultimas,sociedad y justicia,Jubilados de Mexicana y El Barzón bloquean Circuito Interior,bloqueo | manifestación | movilización | protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/25/politica/013n1pol,25/04/2017,LaJornada,politica,,Una decena de jubilados de Mexicana resultan heridos en gresca con granaderos. Los efectivos trataron de impedirles el paso hacia el Zócalo capitalino. ,bloqueo | manifestación,Ciudad de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/25/padres-de-ayotzinapa-realizan-bloqueo-en-reforma-la-altura-de,25/04/2017,ElUniversal,metropoli,cdmx,"Padres de Ayotzinapa realizan bloqueo en Reforma, a la altura de Bucareli",manifestación | bloqueo | protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/25/el-campo-es-de-todos-levanta-planton-frente-a-sagarpa,25/04/2017,LaJornada,ultimas,sociedad y justicia,El Campo es de Todos levanta plantón frente a Sagarpa,protesta | plantón | manifestación | toma de lugares,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/25/gasea-pf-a-padres-de-los-43-al-intentar-hacer-mitin-en-segob,25/04/2017,LaJornada,ultimas,política,"""Gasea"" PF a padres de los 43 al intentar hacer mitin en Segob",manifestación | mitin,Ciudad de México/,digital
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/26/manifestantes-controlan-accesos-de-sct,26/04/2017,ElUniversal,metropoli,cdmx,Manifestantes controlan accesos de SCT,manifestación | protesta,Ciudad de México/,digital
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/26/se-restablece-circulacion-en-avenida-juarez-tras-mitin,26/04/2017,ElUniversal,metropoli,cdmx,Se restablece circulación en Avenida Juárez tras mitin,mitin | bloqueo | movilización,Ciudad de México/,digital
