exactitud,EPs,lat,lon,Estado,Municipio,Lugar,Bloqueo,Plantón,Marcha,Mitin,Paro de labores,#Repertorios,Repertorio_de_referencia,Repertorio_de_referencia_,Repertorio_de_referencia2
sí,1,25.4341102,-101.0026486,Coahuila,Saltillo,Blvd. Francisco Coss,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,25.4627635,-101.0293598,Coahuila,Saltillo,Teatro de la Ciudad,0,0,0,1,0,1,Mitin,Mitin,Mitin
sí,1,25.5481507,-103.4233523,Coahuila,Torreón,oficinas centrales de la Secretaría de Educación estatal,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,25.6690688,-100.3110906,Nuevo León,Monterrey,Congreso,0,0,0,0,0,1,Otro,Otro,Acciones artísticas
sí,1,25.6690858,-100.3131377,Nuevo León,Monterrey,Congreso,0,0,0,0,0,1,Otro,Toma de instalaciones,Toma de instalaciones
sí,1,25.6723255,-100.3094079,Nuevo León,Monterrey,Palacio de Gobierno,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,2,25.6723734,-100.3127192,Nuevo León,Monterrey,Explanada de los Héroes,1,0,1,0,1,4,Varios,Varios,Varios
sí,1,25.8360337,-103.8368886,Durango,Tlahualilo,Mina La Platosa,0,1,0,0,1,3,Plantón,Plantón,Plantón
sí,1,25.8876774,-97.5528994,Tamaulipas,Matamoros,"Sistemas Estructurales y Construcciones, SA de CV",0,0,0,0,1,1,Paro de labores,Paro de labores,Paro de labores
sí,1,27.1285769,-104.9251417,Chihuahua,Jiménez,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,27.6811721,-105.1753404,Chihuahua,Camargo,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,28.1886255,-105.4758552,Chihuahua,Delicias,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,28.4109177,-106.8666349,Chihuahua,Cuauhtémoc,paso del tren de pasajeros ChihuahuaPacífico,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,28.4125823,-106.8554916,Chihuahua,Cuauhtémoc,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,28.5779976,-106.1571178,Chihuahua,Chihuahua,Oficinas de CFE,0,0,0,0,0,2,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,28.6223075,-106.0729008,Chihuahua,Cuauhtémoc, tren Chihuahua-Los Mochis,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,28.6404878,-106.085925,Chihuahua,Chihuahua,Plaza del maestro,0,0,0,0,0,1,Otro,Otro,Rodada
sí,1,29.0734459,-110.9595778,Sonora,Hermosillo,Congreso,0,0,1,0,0,2,Marcha,Marcha,Marcha
sí,1,29.091194,-111.0549115,Sonora,Hermosillo,Aeropuerto Internacional Ignacio L. Pesqueira García,0,1,1,1,0,3,Plantón,Plantón,Plantón
sí,1,29.1913171,-107.4055916,Chihuahua,Namiquipa,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,29.845153,-107.4689615,Chihuahua,Buenaventura,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,30.425208,-107.916706,Chihuahua,Nuevo Casas Grandes,Oficinas de CFE,0,0,0,0,0,2,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,30.6138175,-106.5156836,Chihuahua,Ahumada,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,31.0365588,-110.1864296,Sonora,Cananea,Los Patos,0,1,0,0,0,2,Plantón,Plantón,Plantón
sí,1,31.0980286,-107.9966978,Chihuahua,Ascensión,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,31.7246675,-106.4249403,Chihuahua,Juárez,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,31.7251367,-106.4687022,Chihuahua,Juárez,Oficinas de CFE,0,0,0,0,0,1,Toma de instalaciones,Toma de instalaciones,Toma de instalaciones
sí,1,31.7368467,-106.4549249,Chihuahua,Juárez,Hospital de la Mujer,0,0,1,0,0,2,Marcha,Marcha,Marcha
sí,1,31.737717,-106.4637139,Chihuahua,Juárez,Secretaría de Trabajo y Previsión Social,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,2,31.7640876,-106.4512,Chihuahua,Juárez,Puente Internacional de Córdoba,1,0,0,0,0,1,Varios,Varios,Varios
sí,1,32.5499139,-116.9389293,Baja California,Tijuana,Garita internacional de Otay,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,32.6399474,-115.4777355,Baja California,Mexicali,Congreso de Baja California,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,32.6412031,-115.4757435,Baja California,Mexicali,Palacio de Gobierno,0,1,1,0,1,3,Plantón,Plantón,Plantón
sí,1,32.641856,-115.477814,Baja California,Mexicali,Centro Cívico,0,0,1,0,0,1,Marcha,Marcha,Marcha
sí,1,32.6477255,-115.4546127,Baja California,Mexicali,Monumento a Benito Juárez,0,0,0,0,0,1,Otro,Pacífico no especificado,Pacífico no especificado
sí,1,32.6620128,-115.4878221,Baja California,Mexicali,SEP,1,0,0,0,0,1,Bloqueo,Bloqueo,Bloqueo
sí,1,19.369342,-99.0819331,Ciudad de México,Iztapalapa,Dirección General de Servicios Educativos,0,0,0,1,0,1,Mitin,Mitin,Mitin
